,proportion expt. gr reached,CO2_uptake,fixed biomass output,feasibility,nCO2RC,expt. gr reached,line_color
model_137,1.0240874532610178,1.2675708369351923,0.24373281387612225,1.0,88.19322964441014,1.0,1.0240874532610178
model_140,0.9737849771976472,1.3547218944877386,0.23176082457304004,1.0,73.98692226543164,0.0,0.9737849771976472
model_141,1.044574733451009,1.726194141432643,0.2486087865613401,1.0,40.56803081070577,1.0,1.044574733451009
model_143,1.0049751695245506,1.2220072373747826,0.23918409034684301,1.0,90.45324605112378,1.0,1.0049751695245506
model_144,0.9008973805233836,1.9071028335019946,0.2144135765645653,1.0,13.435878986586053,0.0,0.9008973805233836
model_145,1.079961950518191,1.5356245962902904,0.25703094422332945,1.0,67.54568999435543,1.0,1.079961950518191
model_148,0.9851395638659598,1.5852420767769217,0.2344632162000984,1.0,49.5445249990726,0.0,0.9851395638659598
model_149,1.0090009143576026,1.9629340982064605,0.24014221761710944,1.0,18.96430209062388,1.0,1.0090009143576026
model_150,0.9101475436240435,1.172023568302393,0.21661511538252234,1.0,85.13568387071311,0.0,0.9101475436240435
model_152,0.9403727706521751,1.7703155968338251,0.22380871941521766,1.0,25.36210136221516,0.0,0.9403727706521751
model_153,1.066268090158701,1.3926059622317553,0.25377180545777084,1.0,80.70002192724922,1.0,1.066268090158701
model_156,0.9159900289028884,1.3171650492586195,0.21800562687888742,1.0,71.07376296725516,0.0,0.9159900289028884
model_157,1.0898696891963484,1.6948575624264777,0.2593889860287309,1.0,50.75391188527004,1.0,1.0898696891963484
model_160,0.9586923347786069,1.8743066801689565,0.22816877567730845,1.0,21.95528069146087,0.0,0.9586923347786069
model_161,1.034667000733316,1.4965976267121732,0.24625074617452922,1.0,66.2158837818024,1.0,1.034667000733316
model_164,0.9516771171242,1.5250244894996285,0.22649915387555958,1.0,52.195779300431,0.0,0.9516771171242
model_165,1.029182218015194,1.8969662571325898,0.24494536788761617,1.0,23.640451192150984,1.0,1.029182218015194
model_166,0.9266666786745191,1.094540199264884,0.22054666952453555,1.0,94.1326787828619,0.0,0.9266666786745191
model_168,0.9230052942410112,1.7131220549345016,0.21967526002936066,1.0,24.93502509236009,0.0,0.9230052942410112
model_169,1.0953544242307545,1.3411979004740715,0.26069435296691956,1.0,88.76305997690733,1.0,1.0953544242307545
model_172,0.945827035047114,1.4181036655791104,0.22510683434121312,1.0,63.767060798692135,0.0,0.945827035047114
model_173,1.0733138261362911,1.7900449414737523,0.2554486906204373,1.0,36.7487679540647,1.0,1.0733138261362911
model_176,0.9796853471547365,1.984128828626126,0.2331651126228273,1.0,14.010550025546259,0.0,0.9796853471547365
model_177,1.0019551306962968,1.6122040930204093,0.23846532110571864,1.0,48.6029650952105,1.0,1.0019551306962968
model_180,0.9063592739403249,1.5567275951616466,0.2157135071977973,1.0,41.88209923208873,0.0,0.9063592739403249
model_181,1.087000056728721,1.9341565812937915,0.25870601350143557,1.0,25.783634140016076,1.0,1.087000056728721
model_182,0.9813610492274166,1.249244096223265,0.23356392971612513,1.0,85.38575445675414,0.0,0.9813610492274166
model_184,0.9683231314644218,1.7517832187004387,0.23046090528853239,1.0,26.54853609941058,0.0,0.9683231314644218
model_185,1.0375365795567633,1.374359865207225,0.24693370593450967,1.0,79.30380262770205,1.0,1.0375365795567633
model_188,0.9880336051806808,1.2857439555227757,0.23515199803300202,1.0,82.5681935317983,0.0,0.9880336051806808
model_189,1.0186072485521438,1.6631730757653713,0.2424285251554102,1.0,44.6715191313431,1.0,1.0186072485521438
model_192,0.9374787710607053,1.8587270872667432,0.22311994751244785,1.0,20.979085902823055,0.0,0.9374787710607053
model_193,1.0566617023199798,1.4813039572909474,0.2514854851521552,1.0,70.5288980086061,1.0,1.0566617023199798
model_196,0.9995199574157596,1.4633352202363312,0.23788574986495079,1.0,65.49756467716674,0.0,0.9995199574157596
model_197,1.0188394570723178,1.8414909061975777,0.2424837907832116,1.0,25.556652789902586,1.0,1.0188394570723178
model_198,0.9245273463428021,1.155863159801811,0.2200375084295869,1.0,88.22462046523762,0.0,0.9245273463428021
model_200,0.9251629129052162,1.6576584274880588,0.22018877327144146,1.0,31.73933248083361,0.0,0.9251629129052162
